Year,Region,KerosenePrice_Assumed_Year2005USDPerkg,CarbonPrice_Assumed_Year2005USDPerkg,EffectiveKerosenePrice_WithCarbon_Year2005USDPerkg,Domestic_Fuel_Mt,International_Fuel_Mt,Domestic_RPK,International_RPK,Domestic_Hold_Freight_RTK,International_Hold_Freight_RTK,Domestic_Freighter_RTK,International_Freighter_RTK,Domestic_Passenger_Flights,International_Passenger_Flights,Domestic_Freighter_Flights,International_Freighter_Flights,Domestic_NOx_kt,International_NOx_kt,Domestic_AKM,International_AKM
2006.0,CSA,0.464973089,0.0,0.464973089,1.6184839431893607,7.289281096592617,41067506913.75195,174276405374.4043,498648150.81842834,1973034547.3938103,2693898.5902319574,2059165931.1056314,539910.055977866,963534.8623363972,127.169230766478,60020.99256758671,20.174483207617527,89.76649397718211,419500139.26465225,1540500060.6703186
2006.0,CHI,0.464973089,0.0,0.464973089,3.4439684237586334,8.06292319800923,62825784250.0,91643372393.0625,1495171658.125,2973755445.0429688,3523776844.5,14688018582.996094,523761.995513916,348540.9093589783,320925.5999908447,503110.25666594505,41.80547983199358,105.02208030136535,866987497.09375,1302787288.444336
2006.0,EEU,0.464973089,0.0,0.464973089,0.022572550178097117,1.1383234258019002,420793008.4921875,31776509474.1875,465404.5622615814,151494151.3357544,147448.15131425578,122996530.5594635,19155.248768150806,257794.17902255058,89.16330275312066,11692.207702338696,0.3255806195893456,13.260673616852728,6029026.440887451,321135532.96850586
2006.0,FSU,0.464973089,0.0,0.464973089,0.5595680756550792,3.564672680741751,12741090552.480469,79737498481.75,69727757.31958008,740468887.2664185,518709646.7937498,3570964065.373352,83516.98323583603,385961.7321989536,41577.30000038142,91997.96122762561,7.043626873022731,40.9889672757854,166341277.30371094,941940983.4655762
2006.0,IND,0.464973089,0.0,0.464973089,0.523783237716998,1.5837199821835384,12512783857.5,39635709876.0,273647939.34375,720165948.09375,249309344.703125,440019528.5625,115583.97245407104,137158.2430114746,23607.0,1867.7904893159866,7.294089050032198,19.441134931519628,133565285.5234375,308855413.84375
2006.0,JPN,0.464973089,0.0,0.464973089,2.1686919656349346,5.679338324349374,54923076650.0,124832608972.0,730665217.375,2884255141.875,0.0,2690515651.5,590740.3285827637,273503.9051208496,0.0,61372.12759208679,32.36630381271243,74.77981778234243,464358122.65625,885003313.8125
2006.0,MEX,0.464973089,0.0,0.464973089,0.5140108503546799,1.4138709343387745,14137660140.5,35205912163.0,24052514.359375,286401229.921875,27270.0,260037786.5703125,218827.23184204102,181004.91690063477,6.300000000046566,2321.1612627506256,6.277588246855885,16.79563090298325,166970543.65625,309787420.546875
2006.0,MEA,0.464973089,0.0,0.464973089,0.29447838058990783,12.560954250919167,8860422526.266113,193014650793.125,69090866.08058357,3077536168.4833984,164258.30332634784,18237158428.345703,120852.72787374258,806408.1652803421,16.200000000273576,429731.25956594944,5.608204951374319,157.20858174958266,72583600.24455261,2386337092.4609375
2006.0,ODA,0.464973089,0.0,0.464973089,1.576261259079729,13.78611043703313,40155740194.10547,289872189150.25,548816998.3954773,5274233351.911377,23038186.755100757,8485940964.350739,531131.0970461369,906839.9682087898,5681.888722898089,365739.66877279093,21.78839061639519,174.31803394288,380626187.81689453,2386097683.711426
2006.0,SKO,0.464973089,0.0,0.464973089,0.28333566967921797,3.6124347114237025,5488909990.5,45361271720.0,42169888.0703125,1583439696.375,55035.0,6067748647.5,151849.3489151001,120476.6717300415,16.200000000186265,137420.9831161499,4.502709075808525,47.10623240284622,57811507.37109375,546392441.59375
2006.0,UK,0.464973089,0.0,0.464973089,1.4660003096214496,10.091921085026115,24090868309.0,253056328872.0,5058298.092529297,3740541750.75,5931.0,1091843730.25,543638.7077178955,1527329.4017333984,1.7999999999883585,13501.589621067047,24.577378252521157,132.87992346659303,199908471.6875,1800604755.5
2006.0,USA,0.464973089,0.0,0.464973089,27.973566284137405,28.31946514604533,686839841925.0386,679040926117.0312,4924243542.735928,8011244273.667969,7254482682.75,8061075100.247559,6211664.205178618,2527362.4388546944,817038.2775268555,32547.164264589548,302.3232385201354,340.368578841415,8010661975.032242,6934325127.984375
2006.0,WEU,0.464973089,0.0,0.464973089,3.5762457940678587,35.46478956244391,90733170928.75879,870392705972.75,89923506.7753133,9307756294.376526,49547916.21587526,14539881040.509094,1362582.393926084,4561236.833156109,24.999999999330612,212555.9481258951,50.2551005123978,446.28242053845315,839047330.7704773,7841826562.34668
2007.0,AFR,0.464973089,0.0,0.464973089,0.29091033131430777,5.275470261181908,9299957264.894531,113205496678.875,54533015.62398529,1463676962.6831055,91041.60420620441,3281422470.3430786,104278.97629880905,462869.8646388054,9.199999999895226,62286.975882820785,4.939425171494804,65.42812169424724,86418602.28765106,1027897668.4150391
2007.0,AUS,0.464973089,0.0,0.464973089,1.4496666451959754,4.255520761478692,41550414843.875,102245006454.0,130060225.78466797,1064690792.53125,350062.4000015259,770316878.9375,323735.7528152466,238699.6186466217,28.799999999813735,2584.234922170639,20.094344715122133,55.25894367834553,346171715.90625,676728413.7421875
2007.0,CAN,0.464973089,0.0,0.464973089,0.5025727980828378,1.9093038412975147,15686931468.0,49267667284.0,113803935.3984375,779421967.4375,234282008.0234375,278634150.40625,178934.19612121582,189900.3550415039,36384.67085456848,1330.7508010268211,7.541472307872027,22.99678019247949,212129948.0546875,407722611.09375
