Year,Region,KerosenePrice_Assumed_Year2005USDPerkg,CarbonPrice_Assumed_Year2005USDPerkg,EffectiveKerosenePrice_WithCarbon_Year2005USDPerkg,Domestic_Fuel_Mt,International_Fuel_Mt
2005.0,AFR,0.464973089,0.0,0.464973089,0.3127185237043477,4.526962394361362
2005.0,AUS,0.464973089,0.0,0.464973089,1.4120384629131877,3.9066066087107174
2005.0,CAN,0.464973089,0.0,0.464973089,0.44737196079222485,1.275949017086532
2005.0,CSA,0.464973089,0.0,0.464973089,1.3896146337777964,6.699201803979236
2005.0,CHI,0.464973089,0.0,0.464973089,3.2355486674932763,8.094450010439687
2005.0,EEU,0.464973089,0.0,0.464973089,0.024301686759031327,1.1148951111740644
2005.0,FSU,0.464973089,0.0,0.464973089,0.4581972576136195,3.3140873006732363
2005.0,IND,0.464973089,0.0,0.464973089,0.5059169334272156,1.489472473913338
2005.0,JPN,0.464973089,0.0,0.464973089,2.498876172117889,6.296125190448947
2005.0,MEX,0.464973089,0.0,0.464973089,0.6068793956947047,1.2959426775341853
2005.0,MEA,0.464973089,0.0,0.464973089,0.31868348318477047,11.724238314644026
2005.0,ODA,0.464973089,0.0,0.464973089,1.5317795013038022,13.76447538030061
2005.0,SKO,0.464973089,0.0,0.464973089,0.28675990375631955,3.468071624985896
2005.0,UK,0.464973089,0.0,0.464973089,1.674607142136665,10.224713779287413
2005.0,USA,0.464973089,0.0,0.464973089,28.15737028821627,30.084604510202553
2005.0,WEU,0.464973089,0.0,0.464973089,4.021708234213179,36.24939012967661
2006.0,AFR,0.464973089,0.0,0.464973089,0.29188975357669733,4.637485570039644
2006.0,AUS,0.464973089,0.0,0.464973089,1.284604920012498,3.738315420196159
2006.0,CAN,0.464973089,0.0,0.464973089,0.4665486293233698,1.5473863325896673
2006.0,CSA,0.464973089,0.0,0.464973089,1.6184839431893607,7.289281096592617
2006.0,CHI,0.464973089,0.0,0.464973089,3.4439684237586334,8.06292319800923
2006.0,EEU,0.464973089,0.0,0.464973089,0.022572550178097117,1.1383234258019002
2006.0,FSU,0.464973089,0.0,0.464973089,0.5595680756550792,3.564672680741751
2006.0,IND,0.464973089,0.0,0.464973089,0.523783237716998,1.5837199821835384
2006.0,JPN,0.464973089,0.0,0.464973089,2.1686919656349346,5.679338324349374
2006.0,MEX,0.464973089,0.0,0.464973089,0.5140108503546799,1.4138709343387745
2006.0,MEA,0.464973089,0.0,0.464973089,0.29447838058990783,12.560954250919167
2006.0,ODA,0.464973089,0.0,0.464973089,1.576261259079729,13.78611043703313
2006.0,SKO,0.464973089,0.0,0.464973089,0.28333566967921797,3.6124347114237025
2006.0,UK,0.464973089,0.0,0.464973089,1.4660003096214496,10.091921085026115
2006.0,USA,0.464973089,0.0,0.464973089,27.973566284137405,28.31946514604533
2006.0,WEU,0.464973089,0.0,0.464973089,3.5762457940678587,35.46478956244391
2007.0,AFR,0.464973089,0.0,0.464973089,0.29091033131430777,5.275470261181908
2007.0,AUS,0.464973089,0.0,0.464973089,1.4496666451959754,4.255520761478692
2007.0,CAN,0.464973089,0.0,0.464973089,0.5025727980828378,1.9093038412975147
2007.0,CSA,0.464973089,0.0,0.464973089,2.0686496182448337,8.450708051758852
2007.0,CHI,0.464973089,0.0,0.464973089,4.2613484831526875,9.093913039556355
2007.0,EEU,0.464973089,0.0,0.464973089,0.02467998006693506,1.4029200483510067
2007.0,FSU,0.464973089,0.0,0.464973089,0.7585382331044457,4.329061575666856
2007.0,IND,0.464973089,0.0,0.464973089,0.6644328813126776,1.9917369531467557
2007.0,JPN,0.464973089,0.0,0.464973089,2.021330405957997,5.775729325134307
2007.0,MEX,0.464973089,0.0,0.464973089,0.5094491188065149,1.5418212296790443
2007.0,MEA,0.464973089,0.0,0.464973089,0.30577241500299124,14.422035202980624
2007.0,ODA,0.464973089,0.0,0.464973089,1.734711200651418,15.454900088507202
2007.0,SKO,0.464973089,0.0,0.464973089,0.28113010873494204,3.916273838840425
2007.0,UK,0.464973089,0.0,0.464973089,1.5162377075175755,11.382896160241216
2007.0,USA,0.464973089,0.0,0.464973089,28.376771137918468,28.362478775323325
2007.0,WEU,0.464973089,0.0,0.464973089,3.813529932826782,40.23273183858328
2008.0,AFR,0.464973089,0.0,0.464973089,0.2468068601149298,5.664726812903609
2008.0,AUS,0.464973089,0.0,0.464973089,1.3702549654772156,4.232021610252559
2008.0,CAN,0.464973089,0.0,0.464973089,0.5058775344514288,2.1569158541969955
2008.0,CSA,0.464973089,0.0,0.464973089,2.4577227016649488,9.312711796117583
2008.0,CHI,0.464973089,0.0,0.464973089,5.226207736413926,10.034331705624936
2008.0,EEU,0.464973089,0.0,0.464973089,0.025428910771552182,1.623163888361887
2008.0,FSU,0.464973089,0.0,0.464973089,1.0286538215123073,4.9888146879311535
2008.0,IND,0.464973089,0.0,0.464973089,0.675315220025368,2.153191539924592
2008.0,JPN,0.464973089,0.0,0.464973089,2.1278255314100534,6.019106122199446
2008.0,MEX,0.464973089,0.0,0.464973089,0.4905032219248824,1.627045353059657
2008.0,MEA,0.464973089,0.0,0.464973089,0.3198276369030282,16.561035939579597
2008.0,ODA,0.464973089,0.0,0.464973089,1.840465614907771,16.376310134644882
2008.0,SKO,0.464973089,0.0,0.464973089,0.2085086329607293,3.628677186788991
2008.0,UK,0.464973089,0.0,0.464973089,1.3582631859462708,10.703343507833779
2008.0,USA,0.464973089,0.0,0.464973089,27.39379884201594,26.63796548953178
2008.0,WEU,0.464973089,0.0,0.464973089,3.897461238745109,42.859260253178945
